ref_id,target_id,label,confidence,reasoning
17e238f7-3de2-4d36-ad4a-929d9b112065,boston_streets_2584,no_match,0.85,Segments represent different parallel roads - blue is southwest road and red is northeast road with clear separation visible in satellite view
27ac3e11-cb6b-4ac7-9e4d-ea12ca97dd37,boston_streets_2021,no_match,0.95,Blue segment is short stub while red segment extends much further along the curve representing different portions of the road
351f73aa-db85-4c3e-a050-e056a650da4c,boston_streets_8268,match,0.85,Both segments follow same curved road path with parallel alignment despite length difference
364e3ae5-c0f2-4d0c-a7e6-af9318eb97f2,boston_streets_6334,no_match,0.9,Blue segment is perpendicular side street while red segment runs along main road
3bf2f29e-d87f-4935-95e1-5ef8caff3d4e,boston_streets_10192,no_match,0.95,Blue segment not visible; red target is much longer diagonal road
4810b029-c2b2-4211-89c2-1e33e6cb53e3,boston_streets_9719,no_match,0.95,Different road segments - red is vertical stub while blue is diagonal segment crossing multiple lanes
67da6444-0792-4a52-a0ac-36ed70af5fa2,boston_streets_2911,no_match,0.9,Red segment is diagonal road crossing parking lot; blue is parallel footway along building edge
688d3808-cb07-4252-bfb3-71735638b007,boston_streets_1659,no_match,0.85,Segments represent different parallel roads with distinct orientations and endpoints
82c5ce83-be79-4cca-a7b6-7ae709781a0d,boston_streets_3931,match,0.95,Blue and red segments overlay nearly perfectly on same diagonal road with excellent alignment and similar length
88c439e0-e925-4443-b944-ed44f4a63c95,boston_streets_6007,no_match,0.85,Different roads that cross - blue curves left while red continues straight northeast
89767bd5-e887-493d-9978-c486e58f5f7f,boston_streets_487,no_match,0.95,Red segment visible but no blue reference segment shown in either image
8aa37390-7208-44b7-9d32-dfa723b91d63,boston_streets_5421,no_match,0.85,Red segment follows curved road while blue extends straight into parking/non-road area
9fda925d-8633-49b3-ab7c-06addaadf30a,boston_streets_6328,no_match,0.85,Red segment is much longer road while blue is short cycleway stub on different alignment
baf32705-78dc-43cd-87cf-4fed3eed43cf,boston_streets_9780,no_match,0.9,Red segment is only a small portion at the end of the longer blue curved segment
ccfa0897-60e1-4bf9-a6a5-e9fd201ee6b8,boston_streets_5071,no_match,0.85,Blue and red segments are parallel but represent two distinct road lanes with clear offset
cee40b99-ae55-4521-ad4e-fa24ab68ce48,boston_streets_5547,no_match,0.85,Red segment extends significantly beyond blue segment covering different physical road portions
d279f8ac-cce9-4c78-abff-4e95872c22f0,boston_streets_3862,no_match,0.85,Blue segment follows northern path while red segment follows southern parallel road with significant spatial offset
e6cb5447-5b4a-457b-a69d-6ce3b36d6ef1,boston_streets_5301,match,0.85,Blue segment is subset of red segment representing same diagonal road
eb2129a9-666f-47e5-8ef4-9244982d249b,boston_streets_8524,match,0.90,Segments closely align along same curved road path with similar geometry and length
ed74bedb-d07b-4cae-a04d-b76fb54c32df,boston_streets_3290,no_match,0.8,Segments follow different paths with significant separation and divergent trajectories
