ref_id,target_id,label,confidence,reasoning,labeler,dataset
011d2a8f-7af0-4b8a-beaa-44de0e3c98c1,au_melbourne_92,match,0.85,Blue segment overlaps directly on red segment path with same heading - blue is a shorter subsection of the longer red road despite different names (Marine Parade vs Beach Road),claude_opus_geometry_only,au_melbourne_roads
04344cc8-3289-4642-a199-79abbbe9691e,au_melbourne_639,match,0.95,Short blue reference segment lies directly on longer red target segment representing same road (Dorset Road) with matching names and heading,claude_opus_geometry_only,au_melbourne_roads
07c575b1-483a-4627-a30b-e37cc436b50e,au_melbourne_2224,match,0.85,Blue and red segments follow same north-south path with minor offset typical of digitization difference - both represent Wantirna Road,claude_opus_geometry_only,au_melbourne_roads
08457362-3a70-4f79-af3f-d41dfea03174,au_melbourne_1164,no_match,0.85,Blue and red segments are parallel but offset - blue (Taylors Road) runs along the upper portion while red (Keilor-Derrimut Road) runs parallel below with consistent separation indicating different physical roads not digitization error,claude_opus_geometry_only,au_melbourne_roads
0b513eb2-b0de-46bc-8efc-2de0d85aaf32,au_melbourne_675,match,0.95,Blue segment is short subsection of same road path as longer red segment - both follow Elgar Road with identical names and aligned geometry,claude_opus_geometry_only,au_melbourne_roads
0dd199a2-ca22-44a7-b4e6-f892e0c8b25d,au_melbourne_1014,match,0.85,Red target segment (1123m) contains short blue reference segment (6m) along same High Street centerline with matching names and heading,claude_opus_geometry_only,au_melbourne_roads
12b01a52-637a-4afd-80af-bb32920c2c93,au_melbourne_272,match,0.85,Short blue reference segment lies directly on the long red target segment representing the same Burwood Highway road feature,claude_opus_geometry_only,au_melbourne_roads
16378786-81dc-462d-9d19-b6ce8d032451,au_melbourne_2201,match,0.95,Blue segment is a short subsegment that lies directly on the longer red Victoria Street line with near-zero offset,claude_opus_geometry_only,au_melbourne_roads
17a65c11-8779-4503-b20f-19940b02049e,au_melbourne_198,no_match,0.95,Reference segment (blue) not visible - only red target line shown; extreme length ratio (19m vs 3220m) suggests tiny fragment compared to long road; different road names (Camp Road vs Broadmeadows-Tullamarine Road) indicates different physical features,claude_opus_geometry_only,au_melbourne_roads
1a43ba73-b945-41e4-bd61-d9b6b76ac5b6,au_melbourne_2010,match,0.85,Blue segment overlaps and follows the same path as the red segment with the blue being a shorter subsegment of the longer red line and only minor offset from digitization,claude_opus_geometry_only,au_melbourne_roads
